step,mid,spread,bid_depth,ask_depth,shock,vwap,trades
1,100.025,0.15,100,50,False,,
2,100.0,0.1,150,54,False,,
3,100.125,0.15,200,50,False,100.0537,"[(100.05, 50), (100.1, 4)]"
4,100.0,0.1,164,100,False,,
5,100.035,0.17,152,46,True,,
6,100.16,0.38,120,20,True,100.2801,"[(100.12, 10), (100.25, 13), (100.32, 50)]"
7,100.0,0.1,106,70,False,,
8,99.965,0.17,71,105,True,,
9,100.125,0.15,121,50,False,100.1871,"[(100.05, 25), (100.12, 20), (100.25, 50), (100.35, 10)]"
10,100.075,0.05,171,50,False,,
11,100.075,0.05,221,50,False,,
12,100.125,0.15,271,50,False,100.1,"[(100.1, 50)]"
13,100.075,0.05,321,50,False,,
14,100.05,0.0,320,100,False,,
15,100.2,0.3,229,20,True,100.1625,"[(100.05, 25), (100.1, 25), (100.25, 50)]"
16,100.0,0.1,189,70,False,,
17,100.0,0.1,191,120,False,,
18,100.125,0.15,241,50,False,100.1,"[(100.05, 100), (100.35, 20)]"
19,100.035,0.17,119,95,True,,
20,100.0,0.1,169,132,False,,
21,100.16,0.38,148,20,True,100.2305,"[(100.05, 25), (100.12, 3), (100.2, 12), (100.25, 50), (100.4, 25)]"
22,100.035,0.13,198,50,False,,
23,100.0,0.1,190,100,False,,
24,100.125,0.15,240,50,False,100.075,"[(100.05, 50), (100.1, 50)]"
25,100.075,0.05,290,50,False,,
